TON,SV,WT,FR,TIME,M,FB
2,69,6,21,2702,1.822,2.023
5.5,63,6,21,1235,2.134,2.4115
3.75,66,8,11,2132,2.16,2.414
3.75,66,4,11,2181,2.067,2.172
7.25,66,8,31,1082,2.422,2.5025
5.5,69,6,21,1461,2.237,2.2925
5.5,69,2,21,1352,2.347,2.464
7.25,66,4,11,1072,2.392,2.628
5.5,69,6,21,1477,2.193,2.241
5.5,69,6,21,1483,2.205,2.285
3.75,66,4,31,2014,1.919,2.1175
3.75,66,8,31,1967,2.144,2.224
7.25,66,4,31,1045,2.478,2.3565
5.5,69,6,21,1458,2.22,2.251
7.25,66,8,11,1143,2.315,2.5395
7.25,72,4,11,1102,2.474,2.58
7.25,72,8,11,1202,2.306,2.581
3.75,72,4,11,2336,2.084,2.373
5.5,69,6,21,1467,2.213,2.222
5.5,69,6,21,1467,2.212,2.291
5.5,69,6,1,1740,2.108,2.3025
9,69,6,21,987,2.579,2.827
5.5,69,6,41,1396,2.006,2.2175
3.75,72,8,11,2461,2.063,2.151
5.5,69,10,21,1482,2.27,2.365
7.25,72,8,31,1158,2.224,2.4135
7.25,72,4,31,1102,2.373,2.4315
5.5,75,6,21,1750,2.438,2.387
3.75,72,4,31,2273,1.945,2.4455
3.75,72,8,31,2410,1.941,2.108
